version,N,nucleos,tiempo_promedio_segundos,tiempo_minimo_segundos,tiempo_maximo_segundos,tiempo_base_secuencial,speedup,eficiencia
mpi,4,1,0.367139704998408,0.367139704998408,0.367139704998408,0.0018756789977487642,0.005108897164246775,0.005108897164246775
mpi,4,2,0.37828638199789566,0.37828638199789566,0.37828638199789566,0.0018756789977487642,0.004958357178607604,0.002479178589303802
mpi,4,4,0.42454602100042393,0.42454602100042393,0.42454602100042393,0.0018756789977487642,0.004418081680117528,0.001104520420029382
mpi,5,1,0.3491908109972428,0.3491908109972428,0.3491908109972428,0.0014677200015285052,0.0042032033928295276,0.0042032033928295276
mpi,5,2,0.3400352719982038,0.3400352719982038,0.3400352719982038,0.0014677200015285052,0.004316375748031981,0.0021581878740159904
mpi,5,4,0.36546018499939237,0.36546018499939237,0.36546018499939237,0.0014677200015285052,0.004016087283299946,0.0010040218208249864
openmp,4,1,0.0018690370015974622,0.0018690370015974622,0.0018690370015974622,0.0018756789977487642,1.0035536996568957,1.0035536996568957
openmp,4,2,0.001652207000006456,0.001652207000006456,0.001652207000006456,0.0018756789977487642,1.1352566583614736,0.5676283291807368
openmp,4,4,0.002356572000280721,0.002356572000280721,0.002356572000280721,0.0018756789977487642,0.795935366084859,0.19898384152121476
openmp,5,1,0.0021025419991929084,0.0021025419991929084,0.0021025419991929084,0.0014677200015285052,0.6980692904550354,0.6980692904550354
openmp,5,2,0.0020995359991502482,0.0020995359991502482,0.0020995359991502482,0.0014677200015285052,0.6990687476292572,0.3495343738146286
openmp,5,4,0.002344939999602502,0.002344939999602502,0.002344939999602502,0.0014677200015285052,0.6259094056894006,0.15647735142235014
secuencial,4,1,0.0018756789977487642,0.0018756789977487642,0.0018756789977487642,0.0018756789977487642,1.0,1.0
secuencial,5,1,0.0014677200015285052,0.0014677200015285052,0.0014677200015285052,0.0014677200015285052,1.0,1.0
