version,N,nucleos,repeticion,tiempo_segundos,tiempo_minutos,ok,total_aristas,total_apareamientos,tam_maximo,total_maximos,comando
secuencial,5,1,1,0.0008523900000909634,1.4206500001516057e-05,True,6.0,9.0,2.0,3.0,build_benchmark/secuencial_N5
openmp,5,1,1,0.0008258120001300995,1.3763533335501658e-05,True,6.0,9.0,2.0,3.0,build_benchmark/openmp_N5
openmp,5,2,1,0.0008452050001324096,1.4086750002206828e-05,True,6.0,9.0,2.0,3.0,build_benchmark/openmp_N5
openmp,5,4,1,0.0010094780000144965,1.6824633333574943e-05,True,6.0,9.0,2.0,3.0,build_benchmark/openmp_N5
openmp,5,8,1,0.0012518290000116394,2.0863816666860656e-05,True,6.0,9.0,2.0,3.0,build_benchmark/openmp_N5
openmp,5,16,1,0.0015976439999576542,2.6627399999294237e-05,True,6.0,9.0,2.0,3.0,build_benchmark/openmp_N5
mpi,5,1,1,0.654368912000109,0.010906148533335151,True,7.0,15.0,2.0,8.0,mpirun -np 1 build_benchmark/mpi_N5
mpi,5,2,1,0.6475401129998772,0.01079233521666462,True,7.0,15.0,2.0,8.0,mpirun -np 2 build_benchmark/mpi_N5
mpi,5,4,1,0.693705318000184,0.011561755300003066,True,7.0,15.0,2.0,8.0,mpirun -np 4 build_benchmark/mpi_N5
mpi,5,8,1,0.27384985799994865,0.004564164299999144,False,,,,,mpirun -np 8 build_benchmark/mpi_N5
mpi,5,16,1,0.24485521200017502,0.004080920200002917,False,,,,,mpirun -np 16 build_benchmark/mpi_N5
secuencial,6,1,1,0.0015668580001602095,2.6114300002670158e-05,True,4.0,9.0,3.0,1.0,build_benchmark/secuencial_N6
openmp,6,1,1,0.001700530999869443,2.834218333115738e-05,True,4.0,9.0,3.0,1.0,build_benchmark/openmp_N6
openmp,6,2,1,0.0018787540000175795,3.131256666695966e-05,True,4.0,9.0,3.0,1.0,build_benchmark/openmp_N6
openmp,6,4,1,0.0023879360001046734,3.979893333507789e-05,True,4.0,9.0,3.0,1.0,build_benchmark/openmp_N6
openmp,6,8,1,0.0023236179999912565,3.872696666652094e-05,True,4.0,9.0,3.0,1.0,build_benchmark/openmp_N6
openmp,6,16,1,0.004751955000074304,7.919925000123839e-05,True,4.0,9.0,3.0,1.0,build_benchmark/openmp_N6
mpi,6,1,1,0.6609486190000098,0.011015810316666829,True,10.0,33.0,3.0,4.0,mpirun -np 1 build_benchmark/mpi_N6
mpi,6,2,1,0.6539325989999725,0.01089887664999954,True,10.0,33.0,3.0,4.0,mpirun -np 2 build_benchmark/mpi_N6
mpi,6,4,1,0.7275779860001421,0.012126299766669036,True,10.0,33.0,3.0,4.0,mpirun -np 4 build_benchmark/mpi_N6
mpi,6,8,1,0.22244428899989543,0.0037074048166649237,False,,,,,mpirun -np 8 build_benchmark/mpi_N6
mpi,6,16,1,0.18095392500003982,0.0030158987500006635,False,,,,,mpirun -np 16 build_benchmark/mpi_N6
secuencial,7,1,1,0.0007764200001929566,1.2940333336549277e-05,True,10.0,41.0,3.0,9.0,build_benchmark/secuencial_N7
openmp,7,1,1,0.0011345989998972072,1.890998333162012e-05,True,10.0,41.0,3.0,9.0,build_benchmark/openmp_N7
