version,N,nucleos,repeticion,tiempo_segundos,tiempo_minutos,ok,total_aristas,total_apareamientos,tam_maximo,total_maximos,comando
secuencial,5,1,1,0.0008336049999968509,1.3893416666614181e-05,True,6.0,10.0,2.0,4.0,build_benchmark/secuencial_N5
openmp,5,1,1,0.0007447239999862632,1.241206666643772e-05,True,6.0,10.0,2.0,4.0,build_benchmark/openmp_N5
openmp,5,2,1,0.0008482599999979357,1.413766666663226e-05,True,6.0,10.0,2.0,4.0,build_benchmark/openmp_N5
openmp,5,4,1,0.0008663549999994302,1.4439249999990504e-05,True,6.0,10.0,2.0,4.0,build_benchmark/openmp_N5
openmp,5,8,1,0.0011505650000174228,1.9176083333623714e-05,True,6.0,10.0,2.0,4.0,build_benchmark/openmp_N5
openmp,5,16,1,0.001434224000007589,2.3903733333459815e-05,True,6.0,10.0,2.0,4.0,build_benchmark/openmp_N5
mpi,5,1,1,0.7595256600000084,0.01265876100000014,True,7.0,15.0,2.0,8.0,mpirun -np 1 build_benchmark/mpi_N5
mpi,5,2,1,0.7090612080000085,0.011817686800000142,True,7.0,15.0,2.0,8.0,mpirun -np 2 build_benchmark/mpi_N5
mpi,5,4,1,0.7157519029999833,0.011929198383333055,True,7.0,15.0,2.0,8.0,mpirun -np 4 build_benchmark/mpi_N5
mpi,5,8,1,0.30169470900000306,0.005028245150000051,False,,,,,mpirun -np 8 build_benchmark/mpi_N5
mpi,5,16,1,0.23437854800002356,0.003906309133333726,False,,,,,mpirun -np 16 build_benchmark/mpi_N5
openacc,5,1,1,0.4601719629999934,0.007669532716666557,True,7.0,15.0,2.0,8.0,build_benchmark/openacc_N5
openacc,5,2,1,0.34649365100000296,0.005774894183333382,True,7.0,15.0,2.0,8.0,build_benchmark/openacc_N5
openacc,5,4,1,0.3240267239999923,0.005400445399999872,True,7.0,15.0,2.0,8.0,build_benchmark/openacc_N5
openacc,5,8,1,0.31138089299997773,0.005189681549999629,True,7.0,15.0,2.0,8.0,build_benchmark/openacc_N5
openacc,5,16,1,0.337436270000012,0.005623937833333533,True,7.0,15.0,2.0,8.0,build_benchmark/openacc_N5
secuencial,6,1,1,0.0014386709999882896,2.3977849999804826e-05,True,10.0,33.0,3.0,4.0,build_benchmark/secuencial_N6
