version,N,nucleos,repeticion,tiempo_segundos,tiempo_minutos,ok,total_aristas,total_apareamientos,tam_maximo,total_maximos,comando
secuencial,5,1,1,0.001002030000108789,1.670050000181315e-05,True,4.0,7.0,2.0,3.0,build_benchmark/secuencial_N5
openmp,5,1,1,0.0010058520001621218,1.676420000270203e-05,True,4.0,7.0,2.0,3.0,build_benchmark/openmp_N5
openmp,5,2,1,0.001056554000115284,1.7609233335254734e-05,True,4.0,7.0,2.0,3.0,build_benchmark/openmp_N5
openmp,5,4,1,0.00110735799989925,1.84559666649875e-05,True,4.0,7.0,2.0,3.0,build_benchmark/openmp_N5
openmp,5,8,1,0.001242955999714468,2.0715933328574464e-05,True,4.0,7.0,2.0,3.0,build_benchmark/openmp_N5
openmp,5,16,1,0.0017680109999673732,2.946684999945622e-05,True,4.0,7.0,2.0,3.0,build_benchmark/openmp_N5
mpi,5,1,1,0.5737387799999851,0.009562312999999751,True,7.0,15.0,2.0,8.0,mpirun -np 1 build_benchmark/mpi_N5
mpi,5,2,1,0.6838405029998285,0.011397341716663808,True,7.0,15.0,2.0,8.0,mpirun -np 2 build_benchmark/mpi_N5
mpi,5,4,1,0.7664423500000339,0.012774039166667231,True,7.0,15.0,2.0,8.0,mpirun -np 4 build_benchmark/mpi_N5
mpi,5,8,1,0.3365115329997934,0.005608525549996557,False,,,,,mpirun -np 8 build_benchmark/mpi_N5
mpi,5,16,1,0.256851923999875,0.004280865399997917,False,,,,,mpirun -np 16 build_benchmark/mpi_N5
openacc,5,1,1,0.5026980369998455,0.008378300616664091,True,7.0,15.0,2.0,8.0,build_benchmark/openacc_N5
openacc,5,2,1,0.39059814399979587,0.006509969066663264,True,7.0,15.0,2.0,8.0,build_benchmark/openacc_N5
openacc,5,4,1,0.3832921409998562,0.006388202349997604,True,7.0,15.0,2.0,8.0,build_benchmark/openacc_N5
openacc,5,8,1,0.3406883820002804,0.005678139700004674,True,7.0,15.0,2.0,8.0,build_benchmark/openacc_N5
openacc,5,16,1,0.3636679470000672,0.00606113245000112,True,7.0,15.0,2.0,8.0,build_benchmark/openacc_N5
secuencial,6,1,1,0.0013017950000175915,2.1696583333626527e-05,True,8.0,22.0,3.0,2.0,build_benchmark/secuencial_N6
openmp,6,1,1,0.00161211100021319,2.6868516670219833e-05,True,8.0,22.0,3.0,2.0,build_benchmark/openmp_N6
openmp,6,2,1,0.002234130000033474,3.72355000005579e-05,True,8.0,22.0,3.0,2.0,build_benchmark/openmp_N6
openmp,6,4,1,0.0016779080001469993,2.796513333578332e-05,True,8.0,22.0,3.0,2.0,build_benchmark/openmp_N6
openmp,6,8,1,0.0018292769996151037,3.048794999358506e-05,True,8.0,22.0,3.0,2.0,build_benchmark/openmp_N6
openmp,6,16,1,0.0017710559995975927,2.9517599993293214e-05,True,8.0,22.0,3.0,2.0,build_benchmark/openmp_N6
mpi,6,1,1,0.6375232899999901,0.010625388166666501,True,10.0,33.0,3.0,4.0,mpirun -np 1 build_benchmark/mpi_N6
mpi,6,2,1,0.579120741999759,0.009652012366662651,True,10.0,33.0,3.0,4.0,mpirun -np 2 build_benchmark/mpi_N6
mpi,6,4,1,0.6640867890000663,0.011068113150001106,True,10.0,33.0,3.0,4.0,mpirun -np 4 build_benchmark/mpi_N6
mpi,6,8,1,0.27985302900015085,0.004664217150002514,False,,,,,mpirun -np 8 build_benchmark/mpi_N6
mpi,6,16,1,0.19217503499976374,0.0032029172499960625,False,,,,,mpirun -np 16 build_benchmark/mpi_N6
openacc,6,1,1,0.3813789949999773,0.006356316583332955,True,10.0,33.0,3.0,4.0,build_benchmark/openacc_N6
openacc,6,2,1,0.33551668800009793,0.005591944800001632,True,10.0,33.0,3.0,4.0,build_benchmark/openacc_N6
openacc,6,4,1,0.35287748599967017,0.005881291433327837,True,10.0,33.0,3.0,4.0,build_benchmark/openacc_N6
openacc,6,8,1,0.34895127399977355,0.0058158545666628925,True,10.0,33.0,3.0,4.0,build_benchmark/openacc_N6
openacc,6,16,1,0.34005810899998323,0.005667635149999721,True,10.0,33.0,3.0,4.0,build_benchmark/openacc_N6
