version,N,nucleos,repeticion,tiempo_segundos,tiempo_minutos,ok,total_aristas,total_apareamientos,tam_maximo,total_maximos,comando
secuencial,5,1,1,0.0007269699999596924,1.2116166665994872e-05,True,5,9,2,4,build_benchmark/secuencial_N5
openmp,5,1,1,0.0007528410005761543,1.2547350009602571e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,2,1,0.0007803720000083558,1.3006200000139263e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,4,1,0.0008735699993849266,1.4559499989748777e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,8,1,0.0010162569997191895,1.693761666198649e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,16,1,0.0012955540005350485,2.1592566675584142e-05,True,5,9,2,4,build_benchmark/openmp_N5
secuencial,6,1,1,0.0006598820000363048,1.0998033333938413e-05,True,6,14,3,1,build_benchmark/secuencial_N6
openmp,6,1,1,0.0007037720006337622,1.1729533343896038e-05,True,6,14,3,1,build_benchmark/openmp_N6
openmp,6,2,1,0.0008424390016443795,1.4040650027406324e-05,True,6,14,3,1,build_benchmark/openmp_N6
openmp,6,4,1,0.0009485369992034975,1.5808949986724958e-05,True,6,14,3,1,build_benchmark/openmp_N6
openmp,6,8,1,0.001133160998506355,1.8886016641772584e-05,True,6,14,3,1,build_benchmark/openmp_N6
openmp,6,16,1,0.0013031119997322094,2.1718533328870156e-05,True,6,14,3,1,build_benchmark/openmp_N6
secuencial,7,1,1,0.0008203309989767149,1.3672183316278582e-05,True,10,47,3,13,build_benchmark/secuencial_N7
openmp,7,1,1,0.0007276020005519968,1.2126700009199945e-05,True,10,47,3,13,build_benchmark/openmp_N7
openmp,7,2,1,0.0007196480000857264,1.1994133334762106e-05,True,10,47,3,13,build_benchmark/openmp_N7
openmp,7,4,1,0.0008636810016469099,1.439468336078183e-05,True,10,47,3,13,build_benchmark/openmp_N7
openmp,7,8,1,0.0013198560009186622,2.1997600015311036e-05,True,10,47,3,13,build_benchmark/openmp_N7
openmp,7,16,1,0.0013547500002459856,2.2579166670766427e-05,True,10,47,3,13,build_benchmark/openmp_N7
secuencial,8,1,1,0.0008665700006531551,1.4442833344219252e-05,True,13,82,4,1,build_benchmark/secuencial_N8
openmp,8,1,1,0.0012131669991504168,2.021944998584028e-05,True,13,82,4,1,build_benchmark/openmp_N8
openmp,8,2,1,0.0010860629990929738,1.8101049984882896e-05,True,13,82,4,1,build_benchmark/openmp_N8
openmp,8,4,1,0.001164581999546499,1.940969999244165e-05,True,13,82,4,1,build_benchmark/openmp_N8
openmp,8,8,1,0.0018770089991448913,3.128348331908152e-05,True,13,82,4,1,build_benchmark/openmp_N8
openmp,8,16,1,0.0033109510004578624,5.518251667429771e-05,True,13,82,4,1,build_benchmark/openmp_N8
secuencial,9,1,1,0.0016971320001175627,2.8285533335292713e-05,True,17,291,4,50,build_benchmark/secuencial_N9
openmp,9,1,1,0.0018348560006415937,3.058093334402656e-05,True,17,291,4,50,build_benchmark/openmp_N9
openmp,9,2,1,0.0018129729996871902,3.021621666145317e-05,True,17,291,4,50,build_benchmark/openmp_N9
openmp,9,4,1,0.002560917000664631,4.2681950011077184e-05,True,17,291,4,50,build_benchmark/openmp_N9
openmp,9,8,1,0.015466667999135097,0.00025777779998558493,True,17,291,4,50,build_benchmark/openmp_N9
openmp,9,16,1,0.004430061000675778,7.383435001126296e-05,True,17,291,4,50,build_benchmark/openmp_N9
secuencial,10,1,1,0.002033693999692332,3.38948999948722e-05,True,23,962,5,32,build_benchmark/secuencial_N10
openmp,10,1,1,0.0015769639994687168,2.6282733324478612e-05,True,23,962,5,32,build_benchmark/openmp_N10
openmp,10,2,1,0.0013676759990630671,2.2794599984384453e-05,True,23,962,5,32,build_benchmark/openmp_N10
openmp,10,4,1,0.0011687950009218184,1.9479916682030306e-05,True,23,962,5,32,build_benchmark/openmp_N10
openmp,10,8,1,0.001281396998820128,2.135661664700213e-05,True,23,962,5,32,build_benchmark/openmp_N10
openmp,10,16,1,0.0018036599994957214,3.006099999159536e-05,True,23,962,5,32,build_benchmark/openmp_N10
secuencial,11,1,1,0.001180822999231168,1.968038332051947e-05,True,29,2631,5,303,build_benchmark/secuencial_N11
openmp,11,1,1,0.0012279219990887213,2.046536665147869e-05,True,29,2631,5,303,build_benchmark/openmp_N11
openmp,11,2,1,0.001342495999779203,2.2374933329653383e-05,True,29,2631,5,303,build_benchmark/openmp_N11
openmp,11,4,1,0.0014433530013775453,2.405588335629242e-05,True,29,2631,5,303,build_benchmark/openmp_N11
openmp,11,8,1,0.0016809850003483007,2.8016416672471677e-05,True,29,2631,5,303,build_benchmark/openmp_N11
openmp,11,16,1,0.002315398000064306,3.8589966667738436e-05,True,29,2631,5,303,build_benchmark/openmp_N11
secuencial,12,1,1,0.00259388599988597,4.323143333143283e-05,True,38,14012,6,427,build_benchmark/secuencial_N12
openmp,12,1,1,0.002404614999250043,4.007691665416739e-05,True,38,14012,6,427,build_benchmark/openmp_N12
openmp,12,2,1,0.0028614550010388484,4.7690916683980804e-05,True,38,14012,6,427,build_benchmark/openmp_N12
openmp,12,4,1,0.004487358999540447,7.478931665900745e-05,True,38,14012,6,427,build_benchmark/openmp_N12
openmp,12,8,1,0.004254183000739431,7.090305001232385e-05,True,38,14012,6,427,build_benchmark/openmp_N12
openmp,12,16,1,0.003307191000203602,5.511985000339337e-05,True,38,14012,6,427,build_benchmark/openmp_N12
