version,N,nucleos,repeticion,tiempo_segundos,tiempo_minutos,ok,total_aristas,total_apareamientos,tam_maximo,total_maximos,comando
secuencial,5,1,1,0.0010330220000014378,1.72170333333573e-05,True,5,9,2,4,build_benchmark/secuencial_N5
openmp,5,1,1,0.0018208849999155063,3.0348083331925105e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,2,1,0.0022812529998645914,3.802088333107652e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,4,1,0.0029310299998996925,4.885049999832821e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,8,1,0.0021333019999474345,3.5555033332457245e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,16,1,0.0025517170001876366,4.252861666979394e-05,True,5,9,2,4,build_benchmark/openmp_N5
secuencial,6,1,1,0.0008077259999481612,1.3462099999136019e-05,True,8,23,3,2,build_benchmark/secuencial_N6
openmp,6,1,1,0.0008395390000259795,1.3992316667099658e-05,True,8,23,3,2,build_benchmark/openmp_N6
openmp,6,2,1,0.0008642230000077689,1.4403716666796148e-05,True,8,23,3,2,build_benchmark/openmp_N6
openmp,6,4,1,0.0011019959999885032,1.8366599999808386e-05,True,8,23,3,2,build_benchmark/openmp_N6
openmp,6,8,1,0.0011907680000149412,1.9846133333582354e-05,True,8,23,3,2,build_benchmark/openmp_N6
openmp,6,16,1,0.0013572719999501714,2.2621199999169524e-05,True,8,23,3,2,build_benchmark/openmp_N6
secuencial,7,1,1,0.000861252999811768,1.4354216663529466e-05,True,10,40,3,8,build_benchmark/secuencial_N7
openmp,7,1,1,0.0009288720000313333,1.5481200000522223e-05,True,10,40,3,8,build_benchmark/openmp_N7
openmp,7,2,1,0.0010803169998325757,1.8005283330542927e-05,True,10,40,3,8,build_benchmark/openmp_N7
openmp,7,4,1,0.0010999119999723916,1.8331866666206528e-05,True,10,40,3,8,build_benchmark/openmp_N7
openmp,7,8,1,0.001267603999849598,2.1126733330826633e-05,True,10,40,3,8,build_benchmark/openmp_N7
openmp,7,16,1,0.00157960000001367,2.63266666668945e-05,True,10,40,3,8,build_benchmark/openmp_N7
secuencial,8,1,1,0.0011674720001337846,1.945786666889641e-05,True,17,201,4,14,build_benchmark/secuencial_N8
openmp,8,1,1,0.000976556999830791,1.627594999717985e-05,True,17,201,4,14,build_benchmark/openmp_N8
openmp,8,2,1,0.0010436499999286752,1.739416666547792e-05,True,17,201,4,14,build_benchmark/openmp_N8
openmp,8,4,1,0.0010899129999870638,1.8165216666451063e-05,True,17,201,4,14,build_benchmark/openmp_N8
openmp,8,8,1,0.0014627299999574461,2.4378833332624104e-05,True,17,201,4,14,build_benchmark/openmp_N8
openmp,8,16,1,0.0015394239999295678,2.5657066665492796e-05,True,17,201,4,14,build_benchmark/openmp_N8
secuencial,9,1,1,0.0008972160001121665,1.4953600001869443e-05,True,20,438,4,89,build_benchmark/secuencial_N9
openmp,9,1,1,0.0009317469998677552,1.5529116664462585e-05,True,20,438,4,89,build_benchmark/openmp_N9
openmp,9,2,1,0.0009427229999801057,1.571204999966843e-05,True,20,438,4,89,build_benchmark/openmp_N9
openmp,9,4,1,0.0011754340000607044,1.959056666767841e-05,True,20,438,4,89,build_benchmark/openmp_N9
openmp,9,8,1,0.001439038999933473,2.398398333222455e-05,True,20,438,4,89,build_benchmark/openmp_N9
openmp,9,16,1,0.0015106679998098116,2.5177799996830194e-05,True,20,438,4,89,build_benchmark/openmp_N9
secuencial,10,1,1,0.0011256479999701696,1.8760799999502827e-05,True,28,1505,5,59,build_benchmark/secuencial_N10
openmp,10,1,1,0.000981992000106402,1.63665333351067e-05,True,28,1505,5,59,build_benchmark/openmp_N10
openmp,10,2,1,0.0010706769999160315,1.784461666526719e-05,True,28,1505,5,59,build_benchmark/openmp_N10
openmp,10,4,1,0.0014332390001072781,2.3887316668454635e-05,True,28,1505,5,59,build_benchmark/openmp_N10
openmp,10,8,1,0.001534499000172218,2.5574983336203635e-05,True,28,1505,5,59,build_benchmark/openmp_N10
openmp,10,16,1,0.001770014999920022,2.9500249998667034e-05,True,28,1505,5,59,build_benchmark/openmp_N10
secuencial,11,1,1,0.0011200960000223859,1.8668266667039763e-05,True,28,2314,5,251,build_benchmark/secuencial_N11
openmp,11,1,1,0.0011977019998994365,1.996169999832394e-05,True,28,2314,5,251,build_benchmark/openmp_N11
openmp,11,2,1,0.0016323760000886978,2.7206266668144963e-05,True,28,2314,5,251,build_benchmark/openmp_N11
openmp,11,4,1,0.0018821740000021236,3.136956666670206e-05,True,28,2314,5,251,build_benchmark/openmp_N11
openmp,11,8,1,0.00204754900005355,3.412581666755917e-05,True,28,2314,5,251,build_benchmark/openmp_N11
openmp,11,16,1,0.0022273780000432453,3.712296666738742e-05,True,28,2314,5,251,build_benchmark/openmp_N11
secuencial,12,1,1,0.0013657760000569397,2.2762933334282327e-05,True,32,5562,6,82,build_benchmark/secuencial_N12
openmp,12,1,1,0.0013603840000087075,2.2673066666811792e-05,True,32,5562,6,82,build_benchmark/openmp_N12
openmp,12,2,1,0.001434425000070405,2.3907083334506752e-05,True,32,5562,6,82,build_benchmark/openmp_N12
openmp,12,4,1,0.0017557680000663822,2.926280000110637e-05,True,32,5562,6,82,build_benchmark/openmp_N12
openmp,12,8,1,0.0018128009999145434,3.0213349998575722e-05,True,32,5562,6,82,build_benchmark/openmp_N12
openmp,12,16,1,0.0020843219999733265,3.473869999955544e-05,True,32,5562,6,82,build_benchmark/openmp_N12
