version,N,nucleos,repeticion,tiempo_segundos,tiempo_minutos,ok,total_aristas,total_apareamientos,tam_maximo,total_maximos,comando
secuencial,5,1,1,0.001951744000052713,3.2529066667545216e-05,True,5,9,2,4,build_benchmark/secuencial_N5
openmp,5,1,1,0.0012891649998891808,2.1486083331486345e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,2,1,0.0014728139999533596,2.454689999922266e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,4,1,0.0013232969999990019,2.2054949999983366e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,8,1,0.0016753449999669101,2.792241666611517e-05,True,5,9,2,4,build_benchmark/openmp_N5
openmp,5,16,1,0.001914126999963628,3.1902116666060466e-05,True,5,9,2,4,build_benchmark/openmp_N5
mpi,5,1,1,0.5922183580000819,0.009870305966668031,True,7,15,2,8,mpirun --oversubscribe -np 1 build_benchmark/mpi_N5
mpi,5,2,1,0.6747483599999669,0.011245805999999447,True,7,15,2,8,mpirun --oversubscribe -np 2 build_benchmark/mpi_N5
mpi,5,4,1,0.7049957309998263,0.011749928849997104,True,7,15,2,8,mpirun --oversubscribe -np 4 build_benchmark/mpi_N5
mpi,5,8,1,0.8626511779998509,0.014377519633330848,True,7,15,2,8,mpirun --oversubscribe -np 8 build_benchmark/mpi_N5
mpi,5,16,1,0.9611667919998581,0.01601944653333097,True,7,15,2,8,mpirun --oversubscribe -np 16 build_benchmark/mpi_N5
openacc,5,1,1,0.45257655099999283,0.007542942516666548,True,7,15,2,8,build_benchmark/openacc_N5
openacc,5,2,1,0.34333623100019395,0.005722270516669899,True,7,15,2,8,build_benchmark/openacc_N5
openacc,5,4,1,0.3191522360000363,0.005319203933333938,True,7,15,2,8,build_benchmark/openacc_N5
openacc,5,8,1,0.34714947900010884,0.005785824650001814,True,7,15,2,8,build_benchmark/openacc_N5
openacc,5,16,1,0.3485841199999413,0.0058097353333323555,True,7,15,2,8,build_benchmark/openacc_N5
secuencial,6,1,1,0.0009054150000338268,1.509025000056378e-05,True,6,14,3,1,build_benchmark/secuencial_N6
openmp,6,1,1,0.0008014339998680953,1.3357233331134922e-05,True,6,14,3,1,build_benchmark/openmp_N6
openmp,6,2,1,0.0009969660000024305,1.661610000004051e-05,True,6,14,3,1,build_benchmark/openmp_N6
openmp,6,4,1,0.0017976019998968695,2.996003333161449e-05,True,6,14,3,1,build_benchmark/openmp_N6
openmp,6,8,1,0.0021020220001446432,3.503370000241072e-05,True,6,14,3,1,build_benchmark/openmp_N6
openmp,6,16,1,0.00269426999989264,4.490449999821067e-05,True,6,14,3,1,build_benchmark/openmp_N6
mpi,6,1,1,0.5108304560001216,0.008513840933335359,True,10,33,3,4,mpirun --oversubscribe -np 1 build_benchmark/mpi_N6
mpi,6,2,1,0.5760922189999746,0.00960153698333291,True,10,33,3,4,mpirun --oversubscribe -np 2 build_benchmark/mpi_N6
mpi,6,4,1,0.7944630489998872,0.013241050816664787,True,10,33,3,4,mpirun --oversubscribe -np 4 build_benchmark/mpi_N6
mpi,6,8,1,0.8324631430000409,0.013874385716667348,True,10,33,3,4,mpirun --oversubscribe -np 8 build_benchmark/mpi_N6
mpi,6,16,1,1.0366679119999844,0.017277798533333073,True,10,33,3,4,mpirun --oversubscribe -np 16 build_benchmark/mpi_N6
openacc,6,1,1,0.39671386300005906,0.006611897716667651,True,10,33,3,4,build_benchmark/openacc_N6
openacc,6,2,1,0.33134709300020404,0.005522451550003401,True,10,33,3,4,build_benchmark/openacc_N6
openacc,6,4,1,0.3483957079999982,0.005806595133333303,True,10,33,3,4,build_benchmark/openacc_N6
openacc,6,8,1,0.33751641100002416,0.0056252735166670694,True,10,33,3,4,build_benchmark/openacc_N6
openacc,6,16,1,0.3488138230000004,0.005813563716666674,True,10,33,3,4,build_benchmark/openacc_N6
secuencial,7,1,1,0.0016886949999843637,2.814491666640606e-05,True,12,56,3,13,build_benchmark/secuencial_N7
openmp,7,1,1,0.0013705699998354248,2.2842833330590415e-05,True,12,56,3,13,build_benchmark/openmp_N7
openmp,7,2,1,0.0021494769998753327,3.582461666458888e-05,True,12,56,3,13,build_benchmark/openmp_N7
openmp,7,4,1,0.002801779000037641,4.669631666729401e-05,True,12,56,3,13,build_benchmark/openmp_N7
openmp,7,8,1,0.0015403319998767984,2.567219999794664e-05,True,12,56,3,13,build_benchmark/openmp_N7
openmp,7,16,1,0.0017233890000625252,2.8723150001042087e-05,True,12,56,3,13,build_benchmark/openmp_N7
mpi,7,1,1,0.5863020179999694,0.00977170029999949,True,11,53,3,14,mpirun --oversubscribe -np 1 build_benchmark/mpi_N7
mpi,7,2,1,0.5876154790000783,0.00979359131666797,True,11,53,3,14,mpirun --oversubscribe -np 2 build_benchmark/mpi_N7
mpi,7,4,1,0.6501991749998979,0.010836652916664965,True,11,53,3,14,mpirun --oversubscribe -np 4 build_benchmark/mpi_N7
mpi,7,8,1,0.8514523270000609,0.014190872116667681,True,11,53,3,14,mpirun --oversubscribe -np 8 build_benchmark/mpi_N7
mpi,7,16,1,1.0533390810001038,0.01755565135000173,True,11,53,3,14,mpirun --oversubscribe -np 16 build_benchmark/mpi_N7
openacc,7,1,1,0.3985362639998584,0.006642271066664307,True,11,53,3,14,build_benchmark/openacc_N7
openacc,7,2,1,0.371962209000003,0.00619937015000005,True,11,53,3,14,build_benchmark/openacc_N7
openacc,7,4,1,0.3690948030000527,0.006151580050000879,True,11,53,3,14,build_benchmark/openacc_N7
openacc,7,8,1,0.355658634999827,0.005927643916663783,True,11,53,3,14,build_benchmark/openacc_N7
